IHSA
Chicago,Public,Catholic,,,,,,,,,,,
Catholic,East,West,,,,,,,,,,,
Western,DuCook,DuKane,,,,,,,,,,,
Northern,McLake,Grant,,,,,,,,,,,
Central,DesPlaines,Sangamon,,,,,,,,,,,
Southern,Mississippi,Prairie,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# Chicago,,,,,,,,,,,,,
TEAM,Chicago,Public,Phillips,PHI,85,MTC,,,,,,,			
TEAM,Chicago,Public,Simeon,SIM,75,STR,,,,,,,			
TEAM,Chicago,Public,Whitney Young,WY,70,BR,,,,,,,			
TEAM,Chicago,Public,Taft,TFT,65,STP,,,,,,,			
TEAM,Chicago,Public,Curie,CUR,60,STI,,,,,,,			
TEAM,Chicago,Public,Lane Tech,LNT,55,DLS,,,,,,,			
TEAM,Chicago,Public,Morgan Park,MP,50,MAR,,,,,,,			
TEAM,Chicago,Catholic,Mt Carmel,MTC,95,PHI,,,,,,,			
TEAM,Chicago,Catholic,St Rita,STR,75,SIM,,,,,,,			
TEAM,Chicago,Catholic,Brother Rice,BR,75,WY,,,,,,,			
TEAM,Chicago,Catholic,St Patrick,STP,60,TFT,,,,,,,			
TEAM,Chicago,Catholic,St Ignatius,STI,60,CUR,,,,,,,			
TEAM,Chicago,Catholic,De La Salle,DLS,65,LNT,,,,,,,			
TEAM,Chicago,Catholic,Marist,MAR,80,MP,,,,,,,				
# Suburban Catholic,,,,,,,,,,,,,
TTEAM,Catholic,East,Loyola,LA,95,MC,,,,,,,			
TEAM,Catholic,East,Nazareth,NAZ,90,BEN,,,,,,,			
TEAM,Catholic,East,IC Catholic,IC,80,JCA,,,,,,,			
TEAM,Catholic,East,St Laurence,STL,75,STV,,,,,,,			
TEAM,Catholic,East,Fenwick,FEN,65,PRV,,,,,,,			
TEAM,Catholic,East,Notre Dame Niles,NDN,75,MCC,,,,,,,			
TEAM,Catholic,East,Carmel of Mundelein,COM,55,STF,,,,,,,			
TEAM,Catholic,West,Montini,MC,85,LA,,,,,,,			
TEAM,Catholic,West,Benet,BEN,75,NAZ,,,,,,,			
TEAM,Catholic,West,Joliet Catholic,JCA,90,IC,,,,,,,			
TEAM,Catholic,West,St Viator,STV,70,STL,,,,,,,			
TEAM,Catholic,West,Providence,PRV,75,FEN,,,,,,,			
TEAM,Catholic,West,Marian Catholic,MCC,50,NDN,,,,,,,			
TEAM,Catholic,West,St Francis,STF,55,COM,,,,,,,					
# West Suburban,,,,,,,,,,,,,
TEAM,Western,DuCook,Downers Grove,DG,80,GLN,,,,,,,			
TEAM,Western,DuCook,Hinsdale,HIN,80,WW,,,,,,,			
TEAM,Western,DuCook,Proviso,PRO,65,BAT,,,,,,,			
TEAM,Western,DuCook,Morton,MOR,50,STC,,,,,,,			
TEAM,Western,DuCook,York,YRK,55,NPV,,,,,,,			
TEAM,Western,DuCook,Lyons,LT,65,WV,,,,,,,			
TEAM,Western,DuCook,Willowbrook,WIL,75,MTP,,,,,,,			
TEAM,Western,DuKane,Glenbard,GLN,85,DG,,,,,,,			
TEAM,Western,DuKane,Wheaton Warrenville,WW,80,HIN,,,,,,,			
TEAM,Western,DuKane,Batavia,BAT,80,PRO,,,,,,,			
TEAM,Western,DuKane,St. Charles,STC,70,MOR,,,,,,,			
TEAM,Western,DuKane,Naperville,NPV,65,YRK,,,,,,,			
TEAM,Western,DuKane,Waubonsie Valley,WV,60,LT,,,,,,,			
TEAM,Western,DuKane,Mt Prospect,MTP,65,WIL,,,,,,,			
# Northern,,,,,,,,,,,,,
TEAM,Northern,McLake,Prairie Ridge,PR,90,NCC,,,,,,,			
TEAM,Northern,McLake,Cary Grove,CG,85,SV,,,,,,,			
TEAM,Northern,McLake,Crystal Lake,CL,80,ALL,,,,,,,			
TEAM,Northern,McLake,Maine,MNE,90,BC,,,,,,,			
TEAM,Northern,McLake,Stevenson,STE,75,GAL,,,,,,,			
TEAM,Northern,McLake,New Trier,NT,55,LW,,,,,,,			
TEAM,Northern,McLake,Lake Zurich,LZ,70,FOR,,,,,,,			
TEAM,Northern,Grant,Newman Central Catholic,NCC,75,PR,,,,,,,			
TEAM,Northern,Grant,Stillman Valley,SV,70,CG,,,,,,,			
TEAM,Northern,Grant,Alleman,ALL,75,CL,,,,,,,			
TEAM,Northern,Grant,Boylan Catholic,BC,70,MNE,,,,,,,			
TEAM,Northern,Grant,Galena,GAL,60,STE,,,,,,,			
TEAM,Northern,Grant,Lena Winslow,LW,65,NT,,,,,,,			
TEAM,Northern,Grant,Forreston,FOR,55,LZ,,,,,,,			
# Central,,,,,,,,,,,,,
TEAM,Central,DesPlaines,Morris,MOR,80,SHG,,,,,,,			
TEAM,Central,DesPlaines,Crete Monee,CM,85,RCH,,,,,,,			
TEAM,Central,DesPlaines,Richards,RIC,75,SPR,,,,,,,			
TEAM,Central,DesPlaines,Bolingbrook,BBK,70,SVH,,,,,,,			
TEAM,Central,DesPlaines,Lincoln Way,LW,95,MET,,,,,,,			
TEAM,Central,DesPlaines,Plainfield,PLN,60,LER,,,,,,,			
TEAM,Central,DesPlaines,Joliet,JOL,50,CC,,,,,,,			
TEAM,Central,Sangamon,Sacred Heart Griffin,SHG,85,MOR,,,,,,,			
TEAM,Central,Sangamon,Rochester,RCH,90,CM,,,,,,,			
TEAM,Central,Sangamon,Springfield,SPR,70,RIC,,,,,,,			
TEAM,Central,Sangamon,Spring Valley Hall,SVH,60,BBK,,,,,,,			
TEAM,Central,Sangamon,Metamora,MET,75,LW,,,,,,,			
TEAM,Central,Sangamon,LeRoy,LER,60,PLN,,,,,,,			
TEAM,Central,Sangamon,Coal City,CC,55,JOL,,,,,,,				
# Southern,,,,,,,,,,,,,
TEAM,Southern,Mississippi,East St. Louis,ESL,90,MF,,,,,,,			
TEAM,Southern,Mississippi,Belleville,BEL,75,TUS,,,,,,,			
TEAM,Southern,Mississippi,Edwardsville,EDW,70,MAM,,,,,,,			
